name,url,city,count
Слесарь-механик,https://enbek.kz/ru/vacancy/slesar-po-oborudovaniyu-slesar-mekhanik~4857157,Петропавловск,2
Социальный работник,https://enbek.kz/ru/vacancy/socialnyi-rabotnik-socialnyi-rabotnik~4858019,Кентау,1
Школьный психолог,https://enbek.kz/ru/vacancy/pedagog-psikholog-shkolnyi-psikholog~4858017,Узункольское,1
Дворник,https://enbek.kz/ru/vacancy/dvornik~4858015,Шымкент,1
Заместитель директора (начальника) учебной части,https://enbek.kz/ru/vacancy/zamestitel-po-uchebnoi-chasti-zamestitel-direktora-(nachalnika)-uchebnoi-chasti~4858013,п.Аршалы,1
"Главный специалист, Категория E-4","https://enbek.kz/ru/vacancy/glavnyi-specialist-otdela-informacionnykh-tekhnologii-i-monitoringa-gosudarstvennykh-uslug-glavnyi-specialist,-kategoriya-e-4~4858012",Касыма,1
Грузчик,https://enbek.kz/ru/vacancy/gruzchik~4858010,Шымкент,1
"Главный специалист, Категория С-О-5","https://enbek.kz/ru/vacancy/glavnyi-specialist-otdela-mediko-socialnoi-ekspertizy-№2-glavnyi-specialist,-kategoriya-s-o-5~4858009",Уральск,1
Автомеханик,https://enbek.kz/ru/vacancy/mekhanik-po-remontu-gruzovykh-kuzovnykh-avtomobilei-avtomekhanik~4858007,Астана,1
Дворник,https://enbek.kz/ru/vacancy/dvornik-dvornik~4858003,Береговое,1
Слесарь-сантехник,https://enbek.kz/ru/vacancy/slesar-santekhnik-slesar-santekhnik~4858005,Подстепное,1
Фармацевт (провизор),https://enbek.kz/ru/vacancy/farmacevt-farmacevt-(provizor)~4858004,Уральск,1
Медицинская(ий) сестра/брат,https://enbek.kz/ru/vacancy/medsestra-medicinskaya(ii)-sestra-brat~4858002,Мангистау,1
Графический дизайнер,https://enbek.kz/ru/vacancy/graficheskii-dizainer~4858000,Актау,1
"Главный специалист, Категория E-R-4","https://enbek.kz/ru/vacancy/glavnyi-specialist-glavnyi-specialist,-kategoriya-e-r-4~4857998",Уланский район,1
Полотер,https://enbek.kz/ru/vacancy/eden-zhuushy-poloter~4857994,Арысь,1
Инженер-технолог (общий профиль),https://enbek.kz/ru/vacancy/mladshii-inzhener-tekhnolog-inzhener-tekhnolog-(obshchii-profil)~4857993,Атырау,1
Продавец,https://enbek.kz/ru/vacancy/prodavec-prodavec~4857992,Жалпактал,1
Бетонщик,https://enbek.kz/ru/vacancy/betonshchik-betonshchik~4857990,Тоган,1
Руководитель отдела продаж,https://enbek.kz/ru/vacancy/rukovoditel-otdela-prodazh-rukovoditel-otdela-prodazh~4857988,Талдыкорган,1
Оператор поста централизации,https://enbek.kz/ru/vacancy/operator-po-obrabotke-perevozochnykh-dokumentov-starshii-stanciya-zhosaly-operator-posta-centralizacii~4857986,Кызылорда,1
Водитель погрузчика,https://enbek.kz/ru/vacancy/voditel-pogruzchika~4857982,Шымкент,1
Медицинская(ий) сестра/брат,https://enbek.kz/ru/vacancy/meiirger-bala-kytimindegi-aga-meiirbike-a.sadybekovanyng-ornyna-medicinskaya(ii)-sestra-brat~4857981,Шымкент,1
