name,count
Продавец-консультант,59
Администратор,51
Менеджер по продажам,35
Бухгалтер,32
Офис-менеджер,32
Бариста,23
Официант,22
SMM-менеджер,20
Продавец-кассир,16
Помощник бухгалтера,11
Юрист,10
Мобилограф,10
Водитель,9
Ассистент врача-стоматолога,9
Флорист,9
Менеджер по логистике,8
Бармен,8
Массажист,8
Главный бухгалтер,8
Преподаватель английского языка,8
Повар,7
Учитель английского языка,7
Администратор торгового зала,7
Системный администратор,7
Администратор на ресепшен,7
Кладовщик,7
Маркетолог,7
Бухгалтер-кассир,6
Медицинская сестра/Медицинский брат,6
Упаковщик,6
Сварщик,6
Администратор ресепшен,6
Администратор в стоматологию,6
Продавец-консультант одежды,6
Менеджер отдела продаж,6
Инженер-конструктор,6
HR менеджер,5
Графический дизайнер,5
Охранник,5
Администратор салона красоты,5
Хостес,5
Делопроизводитель,5
Оператор call-центра,5
Менеджер по туризму,5
Помощник/ассистент руководителя,5
Бухгалтер на первичную документацию,4
Таргетолог,4
Администратор ресторана,4
Администратор-кассир,4
Няня,4
Бухгалтер в одном лице,4
Грузчик,4
Менеджер ресторана,4
Фармацевт,4
Торговый представитель,4
Воспитатель,4
Мерчендайзер,4
Менеджер по работе с клиентами,4
Монтажник,4
Кассир,3
Продавец,3
Менеджер по работе с партнерами,3
Электрик,3
Диспетчер,3
Медицинская сестра/медицинский брат,3
Снабженец,3
Уборщица/уборщик,3
Администратор стоматологической клиники,3
Уборщица/Уборщик,3
Ассистент руководителя,3
Помощник главного бухгалтера,3
Помощник юриста,3
Операционный директор (COO),3
Раннер,3
Разнорабочий,3
Журналист,3
Продавец-консультант в магазин одежды,3
Сантехник,3
Слесарь,3
Шеф-повар,3
Водитель-экспедитор,3
Специалист по тендерам,3
Специалист технической поддержки,2
Менеджер Каспи магазина,2
Официант (Cooffe BOOM),2
Администратор образовательного центра,2
Администратор на ресепшн,2
Администратор офиса,2
Project Manager,2
Смм менеджер,2
Бариста в ZEBRA COFFEE,2
Менеджер по закупкам и снабжению,2
Личный ассистент,2
Геодезист,2
Повар универсал,2
Работник склада,2
Помощник бармена,2
Семейный водитель,2
Вожатый в летний лагерь,2
Официант в кофейню,2
Медицинский регистратор,2
Python-разработчик,2
Аниматор,2
Инженер-механик,2
Секретарь на ресепшен,2
Администратор пункта выдачи,2
Печатник,2
Оператор-кассир,2
Java-разработчик (Middle),2
Фасовщик,2
Инженер по охране труда и технике безопасности,2
Лаборант,2
Бухгалтер-калькулятор,2
Продавец-консультант в магазин косметики,2
Приемщик-перегонщик,2
Копирайтер,2
Бариста-кассир,2
Менеджер по персоналу,2
Су-шеф,2
Директор филиала,2
Бармен-кассир,2
Специалист отдела кадров,2
Руководитель отдела продаж,2
Бухгалтер по расчету заработной платы,2
Раннер/помощник официанта,2
Администратор учебного центра,2
Менеджер в типографию,2
Технический директор,2
Электромонтажник,2
Менеджер по кадровому делопроизводству,2
Экономист,2
Продавец-флорист,2
Комплектовщик,2
Преподаватель математики,2
Аналитик,2
Администратор кофейни,2
Мастер лазерной эпиляции,2
Администратор клиники,2
Продавец-консультант парфюмерии,2
Кондитер,2
Бухгалтер-оператор,2
Заведующий складом,2
Финансовый аналитик,2
Раннер (помощник официанта),2
Бухгалтер материального стола,2
Помощник нотариуса,2
Уборщица / Уборщик,2
Архитектор-дизайнер,2
Юрисконсульт,2
Архитектор-проектировщик,2
Мастер ногтевого сервиса,2
Администратор стоматологии,2
Заготовщик,2
Водитель (с личным автомобилем),2
Заместитель главного бухгалтера,2
Бухгалтер на участок банк-клиент,2
Сервисный инженер,2
Главный врач,2
Бухгалтер по учету ТМЦ,2
Продавец-консультант косметики,2
Помощник кондитера,2
Ассистент стоматолога,2
Категорийный менеджер,2
Бухгалтер по реализации,2
Повар горячего цеха,2
Тестировщик ПО,2
Личный помощник руководителя,2
Middle Front End Разработчик,1
Административный сотрудник,1
Бариста в Boba tea,1
Администратор игрового клуба,1
Администратор-кассир в компьютерный клуб,1
Помощник администратора в Салон красоты,1
Продавец-консультант в магазин для кондитера,1
Рекрутер/Менеджер по подбору персонала,1
Assistant (Kazakhstan Foreign Investors’ Council Association),1
Ресто-бар “Rich”,1
Продавец-Кассир,1
Личный водитель (семейный / для руководителя),1
Дежурная (охранница) / Дежурный (охранник),1
Оператор компьютерного клуба,1
Кассир-бариста в ZEBRA COFFEE,1
Бариста в кофейню Starbucks,1
Координатор отдела продаж,1
Водитель семейный с личным автомобилем,1
Генеральный директор (CEO) в E-Groсery компанию,1
Управляющий кофейней,1
Снабженец-механик,1
Администратор в образовательный центр,1
Бармен-бариста,1
"Специалист по закупкам ""Самрук-Казына"" (ГПХ/ДВОУ)",1
Кадровик-делопроизводитель,1
"Финансовый директор, г. Караганда",1
Кассир в кофейню “ZEBRA COFFEE”,1
Управляющий коттеджем,1
Менеджер администратор в Спа-салон,1
Видеограф/Мобилограф,1
Администратор в компьютерный клуб Aztec,1
Таролог,1
Кассир в кофейню «ZEBRA COFFEE»,1
Шеф-Повар,1
Инженер головной станции ТВ,1
HR - менеджер,1
Кассир - бариста,1
Администратор в студию йоги,1
Оператор-кассир в компьютерный клуб,1
Менеджер Wildberries,1
Кассир в кофейню,1
Администратор компьютерного клуба,1
Менеджер отдела закупок,1
Няня (помощница/помощник),1
Специалист таможенного оформления,1
Помощник администратора ресепшен,1
Смм специалист в салон красоты,1
Помощник бухгалтера (офис-менеджер),1
Администратор салона красоты QUEEN BEE,1
Главный специалист юридического департамента,1
Водитель газели,1
"Кассир-билетер в кинотеатр ""Chaplin Cinemas"", г.Астана",1
Оператор 1С/бухгалтер на первичную документацию,1
Оператор-заправщик на АЗС,1
Механик участка насосных станций,1
Администратор студии танца,1
Начальник смены склада,1
Data-Аналитик,1
Менеджер по взысканию задолженности,1
Продавец - консультант онлайн заказов в магазин косметики KIWANO,1
Дизайнер графических работ,1
Энергетик на производство,1
Няня для детей с проживанием,1
Агент по обслуживанию пассажиров,1
Инженер по эксплуатации (Энергетика),1
Руководитель отдела информационной безопасности,1
Администратор в спортивный клуб,1
Полицейский,1
Руководитель Отдела по экономической безопасности,1
Помощник таргетолога,1
Дизайнер презентаций,1
Администратор в йога и детскую студию,1
Заместитель директора по АХЧ,1
Бариста - кассир (Спеццон),1
Менеджер по продажам в цветочный,1
Менеджер по продажам недвижимости в компанию SVOYDOM | Астана,1
Старший миграционный консультант,1
Бухгалтер материального стола (на поступление),1
Кассир-Бариста,1
Водитель-доставщик,1
Персональный водитель руководителя,1
Бухгалтер в турагентство,1
Журналист социальных сетей новостного портала,1
Охранник/Помощник заведующего складом,1
Оператор развлекательного аттракциона,1
Администратор в стоматологический центр,1
Бухгалтер - оператор,1
Мобилограф/модель,1
"Бортпроводник, г. Астана",1
Сборщик заказов,1
Оператор Станка,1
Водитель с личным автомобилем,1
Управляющий администратор заведения,1
Графический Дизайнер,1
Оператор-кассир в компьютерном клубе 01RK CYBER CLUB,1
Уборщик офиса,1
Няня для ребёнка с РАС,1
Менеджер в полиграфию,1
Менеджер Департамента координации транспорта,1
Ассистент лаборатории,1
Ресепшионист в детский кружок,1
Управляющий директор ТРЦ,1
Куратор,1
Дежурный (охранник),1
Специалист по кадровому делопроизводству,1
Инженер сети передачи данных,1
Офис менеджер,1
Инженер электролаборатории / Инженер по наладке и испытаниям электрооборудования,1
Backend-разработчик,1
"Продавец-консультант/продавец-кассир в MANGO Хан-Шатыр, Керуен Сити",1
Специалист ОМТС,1
Фасовщик продукции,1
Куратор\ментор в образовательный центр,1
Продукт менеджер,1
Администратор-SMM в салон красоты,1
Менеджер объекта BI Service,1
Бариста в La Creme,1
Ученик (детейлинг),1
Коммерческий директор,1
Тренер,1
Выездной специалист технической поддержки,1
Химик-аналитик\старший химик-аналитик (хроматографист),1
Помощник Бухгалтера,1
Директор по организационному развитию,1
Мойщик внешней части ВС,1
Администратор кафе комплекса,1
Фельдшер,1
Промоутер,1
Проектный менеджер (event сфера),1
Руководитель юридического отдела,1
Frontend-разработчик в IT компанию,1
Водитель легкового автомобиля,1
Ассистент (помощник) руководителя в магазин одежды,1
Продавец-консультант в магазин модной одежды,1
Инженер по охране труда и технике безопасности (ТБ),1
Администратор информационных систем,1
Корреспондент в конвергентную редакцию,1
IOS-разработчик,1
Рассыльщик персонализированных сообщений,1
Офисный водитель с личным автомобилем,1
Няня помощница/помощник по дому,1
Корпоративный юрист со знанием Английского языка (Upper-Intermediate B2),1
Администратор / Управляющий офисом,1
Специалист канцелярии,1
Менеджер Ozon и wildberries,1
Продавец в спортивный магазин,1
Офис-менеджер/секретарь,1
Оператор Департамента координации транспорта,1
Продавец-консультант женской одежды,1
Бортпроводник,1
Преподаватель английского языка офлайн,1
Бариста/бармен,1
Главный Юрист,1
Менеджер по туризму / Турагент,1
Педагог в группу РАЗВИВАШКА,1
Офис-менеджер/Ассистент руководителя/HR-рекрутер,1
Старший менеджер по закупу авиа- и железнодорожных билетов и оформления командировок,1
Администратор в детскую клинику,1
Процедурная медсестра/процедурный медбрат,1
Бренд - менеджер,1
Главный специалист по железнодорожным перевозкам,1
Secretary (Manager of Administrative Support),1
Продавец-консультант товаров для дома,1
Продавец-консультант в магазин детской обуви,1
Заместитель директора по практической работе,1
Менеджер (в офис),1
Frontend разработчик (React.js),1
Техник-связист,1
Оператор в SimRacing - Компьютерный клуб,1
Разработчик BPM,1
English Teacher (EAL teacher),1
Ведущий геолог,1
Администратор офиса в IT компанию,1
Специалист со знанием Autocad,1
Водитель со своим автомобилем,1
Программист 1С (ученик),1
Официант в Кафе Точка,1
Менеджер по работе с клиентами Whatsapp/Direct,1
СММ - менеджер,1
Офис-ассистент,1
"Frontend Web разработчик (React, NextJS) middle+/senior",1
Старший администратор ресторана,1
Дизайнер/верстальщик книг,1
Администратор торгового зала (автосалон),1
Управляющий бизнес-центром (менеджер административно -технического блока),1
Сотрудник-Бариста в кофейню,1
Менеджер по подбору персонала / рекрутер,1
Event-менеджер,1
Заместитель директора по складской и транспортной логистике,1
Графический дизайн и анализ данных,1
Водитель на своем автомобиле,1
Охранник БЦ,1
