name,url,city,count
Флорист,https://hh.ru/vacancy/121229346,Астана,1
Модель,https://hh.ru/vacancy/121344506,Астана,1
Администратор в компьютерный клуб Aztec,https://hh.ru/vacancy/120806722,Астана,1
Бариста Bubble Tea & ice cream,https://hh.ru/vacancy/121185713,Астана,1
Бухгалтер,https://hh.ru/vacancy/121318125,Не указано,1
Администратор компьютерного клуба,https://hh.ru/vacancy/120415516,Астана,1
Семейный водитель,https://hh.ru/vacancy/121319967,Не указано,1
Системный администратор,https://hh.ru/vacancy/121449633,Не указано,1
Оператор компьютерного клуба,https://hh.ru/vacancy/120724666,Астана,1
Бариста в Boba tea,https://hh.ru/vacancy/121040671,Астана,1
Системный администратор IT,https://hh.ru/vacancy/121514382,Не указано,1
Ассистент - помощница (помощник),https://hh.ru/vacancy/120987710,Астана,1
Администратор,https://hh.ru/vacancy/121434506,Астана,1
Бариста,https://hh.ru/vacancy/120651182,Не указано,1
Администратор,https://hh.ru/vacancy/121462027,Астана,1
Юрист,https://hh.ru/vacancy/121537451,Не указано,1
Администратор пункта выдачи,https://hh.ru/vacancy/121337283,Астана,1
Кассир в кофейню «ZEBRA COFFEE»,https://hh.ru/vacancy/121519972,Нур-Султан (Астана),1
Кассир в кофейню «ZEBRA COFFEE»,https://hh.ru/vacancy/120749098,Астана,1
Шеф-повар,https://hh.ru/vacancy/121336330,Не указано,1
Администратор салона красоты,https://hh.ru/vacancy/121260862,Нур-Султан (Астана),1
Администратор на ресепшен,https://hh.ru/vacancy/121420860,Не указано,1
Помощник руководителя,https://hh.ru/vacancy/121512655,Астана,1
Менеджер в приемную комиссию,https://hh.ru/vacancy/121540327,Астана,1
Бухгалтер,https://hh.ru/vacancy/121543744,Не указано,1
Strong Junior Java Developer,https://hh.ru/vacancy/121500696,Не указано,1
Флорист,https://hh.ru/vacancy/121448192,Астана,1
Администратор,https://hh.ru/vacancy/120823714,Астана,1
Инженер КИПиА / Инженер по промышленному мониторингу (Астана),https://hh.ru/vacancy/121530115,Не указано,1
Бухгалтер,https://hh.ru/vacancy/121381790,Не указано,1
Мастер лазерной эпиляции,https://hh.ru/vacancy/120823179,Астана,1
Менеджер по продажам (ВЫСОКИЙ ОКЛАД+ %) УДАЛЕНО,https://hh.ru/vacancy/121508595,Не указано,1
Бариста,https://hh.ru/vacancy/121372645,Астана,1
Администратор в детский центр,https://hh.ru/vacancy/121481175,Астана,1
Администратор в студию йоги,https://hh.ru/vacancy/121362735,Астана,1
Продавец вафель,https://hh.ru/vacancy/121059086,Не указано,1
Администратор,https://hh.ru/vacancy/121528021,Не указано,1
Администратор в студию йоги/салон красоты,https://hh.ru/vacancy/121311480,Астана,1
Учитель английского языка,https://hh.ru/vacancy/121312876,Астана,1
Официант,https://hh.ru/vacancy/120415174,Астана,1
Помощник руководителя с функциями личного водителя,https://hh.ru/vacancy/121549400,Астана,1
Кассир-бариста в ZEBRA COFFEE,https://hh.ru/vacancy/120536448,Нур-Султан (Астана),1
Официант,https://hh.ru/vacancy/121298522,Астана,1
Менеджер Wildberries,https://hh.ru/vacancy/120435795,Не указано,1
Менеджер Каспи магазина,https://hh.ru/vacancy/120462367,Астана,1
Преподаватель английского языка,https://hh.ru/vacancy/121435868,Астана,1
Бухгалтер,https://hh.ru/vacancy/121516325,Не указано,1
Специалист технической поддержки (IT),https://hh.ru/vacancy/121540879,Не указано,1
Специалист по работе с данными,https://hh.ru/vacancy/121506147,Не указано,1
Редактор дубляжа,https://hh.ru/vacancy/121506676,Не указано,1
Офис-менеджер/Помощник руководителя,https://hh.ru/vacancy/121549045,Не указано,1
Сборщик заказов,https://hh.ru/vacancy/120005568,Астана,1
Мобилограф,https://hh.ru/vacancy/121529710,Астана,1
Рассыльщик персонализированных сообщений,https://hh.ru/vacancy/120606028,Не указано,1
Хостес в салон красоты QUEEN BEE,https://hh.ru/vacancy/121440019,Астана,1
Менеджер отдела продаж,https://hh.ru/vacancy/121502498,Не указано,1
Главный инженер производства,https://hh.ru/vacancy/121508028,Не указано,1
Администратор в клинику пластической хирургии,https://hh.ru/vacancy/121234984,Астана,1
Вожатый в летний лагерь,https://hh.ru/vacancy/120981094,Астана,1
Преподаватель английского языка,https://hh.ru/vacancy/121506085,Астана,1
Специалист бэк-офиса,https://hh.ru/vacancy/121445551,Астана,1
Помощник бухгалтера,https://hh.ru/vacancy/121513312,Не указано,1
Охранник,https://hh.ru/vacancy/121465336,Не указано,1
Личный водитель (семейный / для руководителя),https://hh.ru/vacancy/120978742,Не указано,1
Архивариус,https://hh.ru/vacancy/121450378,Не указано,1
Корпоративный юрист/Юрист по корпоративным проектам,https://hh.ru/vacancy/121485141,Не указано,1
Юрист,https://hh.ru/vacancy/121523390,Не указано,1
Специалист по контролю качества,https://hh.ru/vacancy/121494213,Нур-Султан (Астана),1
Администратор,https://hh.ru/vacancy/121500726,Не указано,1
Бариста в кофейню Starbucks,https://hh.ru/vacancy/121005761,Не указано,1
Няня,https://hh.ru/vacancy/121384202,Астана,1
Секретарь руководителя,https://hh.ru/vacancy/121528124,Астана,1
Менеджер по продажам,https://hh.ru/vacancy/120976807,Астана,1
Водитель,https://hh.ru/vacancy/121402589,Астана,1
Кассир в кофейню “ZEBRA COFFEE”,https://hh.ru/vacancy/120848279,Астана,1
Координатор по маркетингу и PR,https://hh.ru/vacancy/121540621,Астана,1
Бариста в кофейню,https://hh.ru/vacancy/121494690,Астана,1
Аналитик данных,https://hh.ru/vacancy/121520963,Астана,1
Администратор клиники красоты и эстетики,https://hh.ru/vacancy/120982859,Астана,1
Маркетолог,https://hh.ru/vacancy/121504151,Не указано,1
Офис-менеджер,https://hh.ru/vacancy/121485507,Не указано,1
Администратор учебного центра,https://hh.ru/vacancy/120625778,Не указано,1
Продавец-кассир,https://hh.ru/vacancy/120669718,Не указано,1
Бухгалтер,https://hh.ru/vacancy/121538528,Астана,1
Офис-менеджер,https://hh.ru/vacancy/121472520,Астана,1
"Бухгалтер (банк, касса)",https://hh.ru/vacancy/121493506,Астана,1
Агент по продаже авиабилетов,https://hh.ru/vacancy/121501654,Не указано,1
Продавец-консультант/кассир (ТРЦ Keruen City ),https://hh.ru/vacancy/121314292,Не указано,1
Начальник складского комплекса,https://hh.ru/vacancy/121519303,Астана,1
Бухгалтер,https://hh.ru/vacancy/121441300,Не указано,1
Юрист (золоторудная компания),https://hh.ru/vacancy/121539510,Астана,1
